"Plot","SubPlot","Herbivory","yr","uidplot","Litter"
"4",4,"Partial","2022","Partial4",10
"4",1,"Control","2022","Control4",20
"3",3,"Exclosure","2022","Exclosure3",1
"3",4,"Partial","2022","Partial3",7
"3",1,"Control","2022","Control3",1
"5",3,"Exclosure","2022","Exclosure5",30
"5",4,"Partial","2022","Partial5",5
"5",1,"Control","2022","Control5",1
"6",3,"Exclosure","2022","Exclosure6",20
"6",4,"Partial","2022","Partial6",20
"6",1,"Control","2022","Control6",6
"1",4,"Partial","2023","Partial1",30
"1",3,"Exclosure","2023","Exclosure1",40
"1",1,"Control","2023","Control1",15
"2",1,"Control","2023","Control2",15
"2",3,"Exclosure","2023","Exclosure2",35
"2",4,"Partial","2023","Partial2",20
"4",3,"Exclosure","2023","Exclosure4",25
"4",4,"Partial","2023","Partial4",10
"4",1,"Control","2023","Control4",12
"3",3,"Exclosure","2023","Exclosure3",50
"3",4,"Partial","2023","Partial3",7
"3",1,"Control","2023","Control3",1
"5",3,"Exclosure","2023","Exclosure5",50
"5",4,"Partial","2023","Partial5",4
"5",1,"Control","2023","Control5",2
"6",3,"Exclosure","2023","Exclosure6",30
"6",4,"Partial","2023","Partial6",20
"6",1,"Control","2023","Control6",3
"1",4,"Partial","2024","Partial1",22
"1",3,"Exclosure","2024","Exclosure1",36
"1",1,"Control","2024","Control1",15
"2",1,"Control","2024","Control2",10
"2",3,"Exclosure","2024","Exclosure2",25
"2",4,"Partial","2024","Partial2",6
"4",3,"Exclosure","2024","Exclosure4",10
"4",4,"Partial","2024","Partial4",5
"4",1,"Control","2024","Control4",12
"3",3,"Exclosure","2024","Exclosure3",30
"3",4,"Partial","2024","Partial3",7
"3",1,"Control","2024","Control3",2
"5",3,"Exclosure","2024","Exclosure5",10
"5",4,"Partial","2024","Partial5",2
"5",1,"Control","2024","Control5",4
"6",3,"Exclosure","2024","Exclosure6",15
"6",4,"Partial","2024","Partial6",20
"6",1,"Control","2024","Control6",4
"1",4,"Partial","2025","Partial1",30
"1",3,"Exclosure","2025","Exclosure1",66
"1",1,"Control","2025","Control1",20
"2",1,"Control","2025","Control2",15
"2",3,"Exclosure","2025","Exclosure2",45
"2",4,"Partial","2025","Partial2",5
"4",3,"Exclosure","2025","Exclosure4",20
"4",4,"Partial","2025","Partial4",5
"4",1,"Control","2025","Control4",12
"3",3,"Exclosure","2025","Exclosure3",25
"3",4,"Partial","2025","Partial3",2
"3",1,"Control","2025","Control3",1
"5",3,"Exclosure","2025","Exclosure5",70
"5",4,"Partial","2025","Partial5",4
"5",1,"Control","2025","Control5",4
"6",3,"Exclosure","2025","Exclosure6",40
"6",4,"Partial","2025","Partial6",25
"6",1,"Control","2025","Control6",6
